run_name,datetime,hyperparameters,epoch,train_loss,test_loss,accuracy_top1
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.3076,3.4753,0.4313
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6797,3.2970,0.4797
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3530,3.2787,0.5121
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1855,3.1434,0.5482
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1001,3.0607,0.5715
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0558,2.8336,0.6165
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0324,2.6263,0.6371
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0191,2.5435,0.6548
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0112,2.4293,0.6737
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0070,2.3727,0.6818
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0042,2.3387,0.6843
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0031,2.3320,0.6881
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.3220,0.6893
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.3123,0.6901
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.3174,0.6901
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.3126,0.6902
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.3153,0.6899
prod_4,2025-07-23 22:33:27,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0013,2.3163,0.6905
prod_5,2025-07-23 23:17:56,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.7035,10.4778,0.0052
prod_5,2025-07-23 23:17:56,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.5139,9.3476,0.0313
prod_5,2025-07-23 23:17:56,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.7233,8.0734,0.0565
